code,system
B620100,readv2
B614400,readv2
B616400,readv2
B64y400,readv2
B61z200,readv2
B625200,readv2
B616z00,readv2
B620500,readv2
B62y400,readv2
B602200,readv2
B600100,readv2
B62y200,readv2
B620800,readv2
B61z400,readv2
B616700,readv2
B614200,readv2
B623100,readv2
B625800,readv2
B621500,readv2
B620200,readv2
B62y100,readv2
B6z0.00,readv2
B614800,readv2
B61z800,readv2
B600300,readv2
B615200,readv2
B624300,readv2
B601200,readv2
B616.00,readv2
B623300,readv2
B64y100,readv2
B61z500,readv2
B620300,readv2
B616000,readv2
B601500,readv2
B62z100,readv2
B621300,readv2
B601300,readv2
B62y500,readv2
B601100,readv2
B615100,readv2
B641011,readv2
B62y800,readv2
B62z400,readv2
B621800,readv2
B641000,readv2
B602300,readv2
B61z100,readv2
B602500,readv2
B614300,readv2
B601800,readv2
B62y300,readv2
B616800,readv2
B602100,readv2
B613.00,readv2
B613100,readv2
B613200,readv2
B613z00,readv2
B617.00,readv2
B613300,readv2
B613500,readv2
B613700,readv2
B613000,readv2
B613800,readv2
B67yz00,readv2
B625000,readv2
B67y.00,readv2
B623000,readv2
B627X00,readv2
B62x.00,readv2
B620000,readv2
B601000,readv2
B60y.00,readv2
B621000,readv2
B600000,readv2
B67..00,readv2
B627W00,readv2
B614000,readv2
B67z.00,readv2
B61z000,readv2
B615000,readv2
B62y000,readv2
B64z.00,readv2
B64..00,readv2
B64yz00,readv2
B64y.00,readv2
B6...11,readv2
B62x400,readv2
B62y.00,readv2
B623.00,readv2
B62z200,readv2
B62z500,readv2
B62y700,readv2
B62z.00,readv2
B62z800,readv2
B62yz00,readv2
B62z300,readv2
B62..00,readv2
B623z00,readv2
B628200,readv2
B628700,readv2
B627100,readv2
B627.00,readv2
B628.00,readv2
B627C00,readv2
B62F.11,readv2
B627200,readv2
B627000,readv2
B628000,readv2
B627B00,readv2
B628300,readv2
B627C11,readv2
B628100,readv2
B62F.00,readv2
B651.00,readv2
B65yz00,readv2
B651100,readv2
B65..00,readv2
B651300,readv2
B651z00,readv2
B65z.00,readv2
B610.00,readv2
B610300,readv2
B611100,readv2
B610100,readv2
B611.00,readv2
B62zz11,readv2
B63y.00,readv2
B627D00,readv2
B628500,readv2
B627800,readv2
B627600,readv2
B630.12,readv2
B63z.00,readv2
B630300,readv2
B630.00,readv2
B63..00,readv2
B62Ew00,readv2
B62E.00,readv2
B651.11,readv2
B653100,readv2
B62x500,readv2
B650.00,readv2
B642.00,readv2
B654.00,readv2
B674.00,readv2
B682.00,readv2
B660.00,readv2
B640.00,readv2
B692.00,readv2
B652.00,readv2
B662.00,readv2
B65y100,readv2
B680.00,readv2
B675.00,readv2
B690.00,readv2
B61z700,readv2
B614700,readv2
B60z.00,readv2
B601.00,readv2
B600z00,readv2
B60..00,readv2
B653.00,readv2
B601700,readv2
B612.00,readv2
B62D.00,readv2
B601z00,readv2
B600700,readv2
B600.00,readv2
B630.11,readv2
B672.00,readv2
B66..12,readv2
B671.11,readv2
B672.11,readv2
B68z.00,readv2
B67y000,readv2
B631.00,readv2
B62A.00,readv2
B624.12,readv2
B68y.00,readv2
B626000,readv2
B626500,readv2
B626800,readv2
B62F100,readv2
B630000,readv2
B673.00,readv2
B629.00,readv2
B62F000,readv2
B627500,readv2
B627300,readv2
B68..00,readv2
B627A00,readv2
B62C.00,readv2
B62x000,readv2
B62x100,readv2
B627900,readv2
B6z..00,readv2
B6y..00,readv2
B6...00,readv2
B66yz00,readv2
B691.00,readv2
B66..00,readv2
B661.00,readv2
B66z.00,readv2
B69..00,readv2
B66y.00,readv2
B693.00,readv2
B681.00,readv2
B651000,readv2
B641.00,readv2
B651200,readv2
B62F200,readv2
B62E800,readv2
B640000,readv2
B627700,readv2
B6y0.11,readv2
B677.00,readv2
B6y0.00,readv2
B62y600,readv2
B613600,readv2
B620z00,readv2
B620.00,readv2
B612400,readv2
B621400,readv2
B62zz00,readv2
B62x600,readv2
B641.11,readv2
B64..11,readv2
B614100,readv2
B614z00,readv2
B614.00,readv2
B6y1.00,readv2
B624.11,readv2
B624000,readv2
B624.00,readv2
B624z00,readv2
B64y500,readv2
B64y200,readv2
B602.00,readv2
B602z00,readv2
B62E300,readv2
B62E700,readv2
B62EA00,readv2
B62x200,readv2
B62xX00,readv2
B61z.11,readv2
B627.11,readv2
B61z.00,readv2
B61zz00,readv2
B61..00,readv2
B61..11,readv2
B625.00,readv2
B625z00,readv2
B62E600,readv2
B62E900,readv2
B615.00,readv2
B615z00,readv2
B627F00,readv2
B622.00,readv2
B622z00,readv2
B626z00,readv2
B626.00,readv2
B625.11,readv2
B670.00,readv2
B671.00,readv2
B61B.00,readv2
B61C.00,readv2
B618.00,readv2
B653000,readv2
B621.00,readv2
B621z00,readv2
B630200,readv2
B627E00,readv2
B627G00,readv2
B62E100,readv2
B62E200,readv2
B670.11,readv2
B627911,readv2
B630100,readv2
B630400,readv2